ID,school,belong,support,hours,wellBe,support.c,hours.c
1,1,3.75,2.929149604,12,2.111111111,0.038484809,0.701300461
2,1,3.25,2.929149604,11,3.333333333,0.038484809,-0.298699539
3,1,3.375,2.929149604,12,2.111111111,0.038484809,0.701300461
4,1,3.75,2.929149604,9,4.388888889,0.038484809,-2.298699539
5,1,4,2.929149604,7,1.722222222,0.038484809,-4.298699539
6,1,3,2.929149604,8,3.333333333,0.038484809,-3.298699539
7,1,3.625,2.929149604,9,3.444444444,0.038484809,-2.298699539
8,1,3.375,2.929149604,8,3.666666667,0.038484809,-3.298699539
9,1,3.875,2.929149604,12,3.055555556,0.038484809,0.701300461
10,1,3.375,2.929149604,11,1.722222222,0.038484809,-0.298699539
11,1,4,2.929149604,11,3.666666667,0.038484809,-0.298699539
12,1,4,2.929149604,10,4.277777778,0.038484809,-1.298699539
13,1,2.25,2.929149604,11,1.888888889,0.038484809,-0.298699539
14,1,1.5,2.929149604,12,2.611111111,0.038484809,0.701300461
15,1,1.375,2.929149604,12,2.944444444,0.038484809,0.701300461
16,1,2.875,2.929149604,12,2.611111111,0.038484809,0.701300461
17,1,4.5,2.929149604,14,2.444444444,0.038484809,2.701300461
18,1,4.375,2.929149604,11,4.555555556,0.038484809,-0.298699539
19,1,4.25,2.929149604,8,3.722222222,0.038484809,-3.298699539
20,1,2.625,2.929149604,12,1.666666667,0.038484809,0.701300461
21,1,3.125,2.929149604,12,1.666666667,0.038484809,0.701300461
22,1,4.125,2.929149604,10,3.777777778,0.038484809,-1.298699539
23,1,2.375,2.929149604,11,1.777777778,0.038484809,-0.298699539
24,1,2.25,2.929149604,12,3.888888889,0.038484809,0.701300461
25,1,3.125,2.929149604,11,1.944444444,0.038484809,-0.298699539
26,1,2.25,2.929149604,11,2.444444444,0.038484809,-0.298699539
27,1,3.75,2.929149604,12,3.888888889,0.038484809,0.701300461
28,1,2,2.929149604,10,4.333333333,0.038484809,-1.298699539
29,1,2.25,2.929149604,12,0.333333333,0.038484809,0.701300461
30,1,2,2.929149604,12,3.444444444,0.038484809,0.701300461
31,1,3.75,2.929149604,13,2.777777778,0.038484809,1.701300461
32,1,2.875,2.929149604,13,2.888888889,0.038484809,1.701300461
33,1,4,2.929149604,8,2.944444444,0.038484809,-3.298699539
34,1,2.125,2.929149604,14,1.222222222,0.038484809,2.701300461
35,1,2.5,2.929149604,14,2.444444444,0.038484809,2.701300461
36,1,4,2.929149604,11,1,0.038484809,-0.298699539
37,1,2.75,2.929149604,10,2.611111111,0.038484809,-1.298699539
