"","rhythm","condition","experience"
"1",75.49,"0","0"
"2",72.03,"0","0"
"3",87.05,"0","0"
"4",84.94,"0","0"
"5",71.21,"0","0"
"6",81.38,"0","0"
"7",78.29,"0","0"
"8",72.08,"0","0"
"9",82.99,"0","0"
"10",86.18,"0","0"
"11",83.23,"0","0"
"12",85.89,"0","0"
"13",82.26,"0","0"
"14",72.34,"0","0"
"15",79.02,"0","0"
"16",82.73,"0","0"
"17",65.78,"0","0"
"18",75,"0","0"
"19",84.14,"0","0"
"20",87.49,"0","0"
"21",76.88,"0","1"
"22",72.74,"0","1"
"23",67.68,"0","1"
"24",69.72,"0","1"
"25",72.89,"0","1"
"26",90.32,"0","1"
"27",73.93,"0","1"
"28",78.75,"0","1"
"29",71.03,"0","1"
"30",72.97,"0","1"
"31",75.57,"0","1"
"32",81.84,"0","1"
"33",73.48,"0","1"
"34",70.82,"0","1"
"35",86.92,"0","1"
"36",73.97,"0","1"
"37",77.02,"0","1"
"38",82.82,"0","1"
"39",72.08,"0","1"
"40",84,"0","1"
"41",74.81,"1","0"
"42",76.29,"1","0"
"43",90.15,"1","0"
"44",61.39,"1","0"
"45",76.02,"1","0"
"46",78.9,"1","0"
"47",74.62,"1","0"
"48",76.51,"1","0"
"49",75.83,"1","0"
"50",81.11,"1","0"
"51",71.55,"1","0"
"52",74.96,"1","0"
"53",75.49,"1","0"
"54",72.56,"1","0"
"55",79.78,"1","0"
"56",79,"1","0"
"57",77.13,"1","0"
"58",63.86,"1","0"
"59",82.12,"1","0"
"60",80.75,"1","0"
"61",86.79,"1","1"
"62",91.43,"1","1"
"63",86.95,"1","1"
"64",77.45,"1","1"
"65",88.78,"1","1"
"66",92.17,"1","1"
"67",88.05,"1","1"
"68",77.85,"1","1"
"69",73.26,"1","1"
"70",84.11,"1","1"
"71",87.83,"1","1"
"72",77.4,"1","1"
"73",76.46,"1","1"
"74",87.19,"1","1"
"75",77.38,"1","1"
"76",89.45,"1","1"
"77",82.72,"1","1"
"78",86.16,"1","1"
"79",90.69,"1","1"
"80",82.18,"1","1"
